Wall time,Step,Value
1676688294.391601,11,0.6659988760948181
1676688299.8670495,23,0.6553628444671631
1676688305.3463864,35,0.6476547718048096
1676688310.8597708,47,0.6405546069145203
1676688316.3950074,59,0.6336089968681335
1676688321.8464801,71,0.6267027258872986
1676688327.3008957,83,0.6197983622550964
1676688332.7662814,95,0.6126867532730103
1676688338.2346678,107,0.6053245663642883
1676688343.669144,119,0.5977284908294678
1676688349.1315372,131,0.5900415778160095
1676688354.6139245,143,0.5823255777359009
1676688360.0654023,155,0.5746846199035645
1676688365.481973,167,0.5671912431716919
1676688370.9264152,179,0.5597789287567139
1676688376.41178,191,0.5523599982261658
1676688381.8912077,203,0.545124351978302
1676688387.295774,215,0.5380368828773499
1676688392.737224,227,0.5311763882637024
1676688398.1727183,239,0.5245605111122131
1676688403.6300995,251,0.5181178450584412
1676688409.083535,263,0.5117185115814209
1676688414.524985,275,0.5056315660476685
1676688419.9774537,287,0.499833881855011
1676688425.4408865,299,0.49420642852783203
1676688430.9179976,311,0.4887561500072479
1676688436.3485117,323,0.48349297046661377
1676688441.8178968,335,0.4785386323928833
1676688447.2843337,347,0.47368597984313965
1676688452.7148137,359,0.4690345525741577
1676688458.1902304,371,0.464579701423645
1676688463.6805491,383,0.46025171875953674
1676688469.1599264,395,0.4561205506324768
1676688474.6103683,407,0.4521004557609558
1676688480.1756003,419,0.4482002854347229
1676688485.6140833,431,0.44439542293548584
1676688491.036737,443,0.44064897298812866
1676688496.4852598,455,0.4369860887527466
1676688501.9348521,467,0.4333454966545105
1676688507.394331,479,0.42974650859832764
1676688512.834783,491,0.4263032376766205
1676688518.4447837,503,0.423005610704422
1676688523.9431064,515,0.4197756052017212
1676688529.3906112,527,0.4166869819164276
1676688534.844999,539,0.4136825203895569
1676688540.2935412,551,0.41068094968795776
1676688545.7500496,563,0.40782108902931213
1676688551.2034583,575,0.4049251079559326
1676688556.6529531,587,0.4020402133464813
1676688562.1003869,599,0.39927393198013306
